publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p868570,,2016-11-17T08:54:09.081Z,2016-11-17T08:56:42.119Z,172.7018251,-42.71349609,3.187731499,15.78125,M,,NonLinLoc,,automatic,nz3drx,20,20,7,0.3235036554,79.87125475,0.7943727378,0
2016p868559,,2016-11-17T08:48:21.551Z,2016-11-17T08:51:23.543Z,174.3253891,-41.72278168,3.165163818,21.40625,M,,NonLinLoc,,automatic,nz3drx,45,45,25,0.08805642301,140.027414,1.249340567,0
2016p868556,,2016-11-17T08:47:04.638Z,2016-11-17T08:49:06.274Z,174.4259817,-41.58394213,2.221969028,15.3125,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.3867743629,144.3773137,0.6553531031,0
2016p868549,,2016-11-17T08:43:24.429Z,2016-11-17T08:45:38.159Z,173.5497272,-42.36252294,2.76115032,36.875,M,,NonLinLoc,,automatic,nz3drx,21,21,9,0.6916511982,152.3878998,0.9864492786,0
2016p868544,,2016-11-17T08:40:27.763Z,2016-11-17T08:42:22.457Z,173.4362489,-42.4076222,2.732024554,27.03125,M,,NonLinLoc,,automatic,nz3drx,18,18,7,0.6333294051,152.2478731,0.6598065099,0
2016p868536,,2016-11-17T08:36:13.530Z,2016-11-17T08:38:37.376Z,173.7544586,-42.13319439,2.677810114,26.09375,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.4270698177,143.7171177,0.4512022539,0
2016p868527,,2016-11-17T08:31:30.631Z,2016-11-17T08:34:51.329Z,173.4134987,-42.50876451,3.94183409,45.3125,M,,NonLinLoc,,automatic,nz3drx,87,87,54,0.5368345745,135.093641,1.374289069,0
2016p868526,,2016-11-17T08:31:08.391Z,2016-11-17T08:33:09.353Z,173.0944128,-42.6196887,3.966638994,22.8125,M,,NonLinLoc,,automatic,nz3drx,10,10,8,0.3503983633,158.9814937,0.3844894253,0
2016p868522,,2016-11-17T08:28:45.877Z,2016-11-17T08:31:40.347Z,173.6656599,-42.14395387,2.983719597,23.28125,M,,NonLinLoc,,automatic,nz3drx,18,18,11,0.4563482625,163.2653098,1.271627742,0
2016p868521,,2016-11-17T08:28:03.401Z,2016-11-17T08:30:19.283Z,173.7915553,-42.41293484,3.10315238,32.1875,M,,NonLinLoc,,automatic,nz3drx,22,22,11,0.6996551407,165.7302126,0.7643797173,0
2016p868515,,2016-11-17T08:24:55.492Z,2016-11-17T08:27:13.131Z,173.7601261,-42.2952176,2.92106142,38.75,M,,NonLinLoc,,automatic,nz3drx,21,21,11,0.5857131044,162.989662,0.8236369661,0
2016p868511,,2016-11-17T08:23:02.330Z,2016-11-17T08:26:35.188Z,173.1484077,-42.55949492,2.970513027,27.03125,M,,NonLinLoc,,automatic,nz3drx,31,31,15,0.4163227512,129.1501504,0.8828168703,0
2016p868509,,2016-11-17T08:21:53.438Z,2016-11-17T08:24:33.179Z,174.1839336,-41.84208549,2.683848505,19.53125,M,,NonLinLoc,,automatic,nz3drx,20,20,13,0.2603121524,180.6955654,0.9174942798,0
2016p868498,,2016-11-17T08:16:10.641Z,2016-11-17T08:19:50.128Z,173.7358165,-42.29117303,3.161877997,26.5625,M,,NonLinLoc,,automatic,nz3drx,35,35,18,0.5848137126,141.5041876,1.424961227,0
2016p868493,,2016-11-17T08:13:05.532Z,2016-11-17T08:16:41.038Z,173.5688539,-42.2045443,3.151509261,27.96875,M,,NonLinLoc,,automatic,nz3drx,37,37,16,0.5404021348,139.5404952,1.2957372,0
2016p868490,,2016-11-17T08:11:31.547Z,2016-11-17T08:13:48.028Z,173.7428438,-42.4048457,2.797702734,30.3125,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.6961286443,163.085414,0.9540709011,0
2016p868482,,2016-11-17T08:07:14.772Z,2016-11-17T08:09:27.870Z,173.6221533,-42.18273487,2.529237817,21.40625,M,,NonLinLoc,,automatic,nz3drx,13,13,4,0.5043602517,156.7156481,0.9186808153,0
2016p868478,,2016-11-17T08:05:11.671Z,2016-11-17T08:07:22.220Z,173.8463691,-41.98236637,2.382110339,14.84375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.266862762,150.9411281,0.5841454486,0
2016p868473,,2016-11-17T08:02:42.033Z,2016-11-17T08:05:33.369Z,173.8448208,-41.99233256,2.489391946,22.34375,M,,NonLinLoc,,automatic,nz3drx,18,18,8,0.2769000457,179.3429489,0.9735359663,0
2016p868464,,2016-11-17T07:58:05.925Z,2016-11-17T08:00:26.870Z,174.1216228,-41.80355589,2.462768899,20.46875,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.08738378932,156.4499313,0.4131932999,0
2016p868462,,2016-11-17T07:56:46.329Z,2016-11-17T08:00:20.792Z,173.56765,-42.40643227,3.060417395,32.1875,M,,NonLinLoc,,automatic,nz3drx,26,26,10,0.6851033812,172.0822965,0.6619628696,0
2016p868460,,2016-11-17T07:55:30.821Z,2016-11-17T07:58:01.333Z,173.8308661,-42.08202827,2.831664161,25.15625,M,,NonLinLoc,,automatic,nz3drx,23,23,11,0.3672476985,155.2476326,0.6624646253,0
2016p868452,,2016-11-17T07:51:32.155Z,2016-11-17T07:53:58.351Z,174.0016903,-41.77834994,2.211045057,5.9375,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.1116967277,212.1050389,1.1040049,0
2016p868446,,2016-11-17T07:48:16.812Z,2016-11-17T07:50:23.741Z,173.6239649,-42.24953739,2.868360634,29.84375,M,,NonLinLoc,,automatic,nz3drx,19,19,7,0.5663613774,149.0333151,0.8237104223,0
2016p868434,,2016-11-17T07:41:57.254Z,2016-11-17T07:43:32.236Z,178.5810872,-38.51556155,2.351472484,37.8125,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.2924909813,242.7107916,0.6696531974,0
2016p868428,,2016-11-17T07:38:43.720Z,2016-11-17T07:40:45.140Z,173.7199393,-41.99702518,2.331141329,19.0625,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.3045083048,184.6939735,0.7190169587,0
2016p868424,,2016-11-17T07:36:19.465Z,2016-11-17T07:38:40.096Z,173.736307,-42.0509007,2.732221024,17.1875,M,,NonLinLoc,,automatic,nz3drx,18,18,7,0.3509812991,156.0672219,0.7888988165,0
2016p868412,,2016-11-17T07:30:18.641Z,2016-11-17T07:33:33.398Z,173.7916147,-42.13427815,3.867101378,38.28125,M,,NonLinLoc,,automatic,nz3drx,75,75,48,0.4229102378,136.009089,1.341870631,0
