publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3756663,earthquake,2010-09-04T14:32:51.647Z,2013-07-16T14:52:00.000Z,172.32318000000000779,-43.71650000000000347,3.04700000000000015,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,6,4,0.23999999999999999,182.00000000000000000,0.11294000000000000,0.25800000000000001
3756659,earthquake,2010-09-04T14:31:28.640Z,2013-07-16T14:52:00.000Z,172.07327000000000794,-43.59248000000000189,2.96899999999999986,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,5,7,0.26600000000000001,154.00000000000000000,0.12457000000000000,0.17100000000000001
3756648,earthquake,2010-09-04T14:30:35.250Z,2013-07-16T14:52:00.000Z,172.44583000000000084,-43.65176000000000300,2.93199999999999994,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,8,4,5,0.14899999999999999,207.00000000000000000,0.13680999999999999,0.18200000000000000
3366680,earthquake,2010-09-04T14:28:43.780Z,2013-07-16T14:07:00.000Z,171.84569999999999368,-43.56801999999999708,3.64400000000000013,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,6,10,0.27800000000000002,151.00000000000000000,0.13766000000000000,0.16800000000000001
3756642,earthquake,2010-09-04T14:28:27.151Z,2013-07-16T14:52:00.000Z,172.23401000000001204,-43.60649999999999693,2.87599999999999989,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,16,0.28399999999999997,153.00000000000000000,0.18326000000000001,0.33700000000000002
3366679,earthquake,2010-09-04T14:25:49.576Z,2013-07-16T14:07:00.000Z,172.17609999999999104,-43.48949000000000353,3.04700000000000015,5.34349999999999969,ML,,GROPE,reviewed,manual,nz1dr,11,6,5,0.05400000000000000,132.00000000000000000,0.11770000000000000,0.16400000000000001
3756609,earthquake,2010-09-04T14:24:03.554Z,2013-07-16T14:52:00.000Z,172.20401000000001090,-43.61596999999999724,3.19799999999999995,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,5,7,0.30700000000000000,157.00000000000000000,0.12864999999999999,0.14299999999999999
3366678,earthquake,2010-09-04T14:23:13.931Z,2013-07-17T14:37:00.000Z,172.39907999999999788,-43.61863999999999919,2.75599999999999978,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,6,5,0.16800000000000001,148.00000000000000000,0.14441000000000001,0.19400000000000001
3756542,earthquake,2010-09-04T14:21:03.824Z,2013-07-16T14:52:00.000Z,172.06534999999999513,-43.61740000000000350,3.56800000000000006,5.68770000000000042,ML,,GROPE,reviewed,manual,nz1dr,11,6,13,0.03400000000000000,160.00000000000000000,0.13453999999999999,0.21700000000000000
3756594,earthquake,2010-09-04T14:20:18.815Z,2013-07-16T14:52:00.000Z,172.38439999999999941,-43.56960999999999729,2.46399999999999997,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,5,8,0.17399999999999999,136.00000000000000000,0.13114999999999999,0.32200000000000001
